TERMOKKOD	TERMEKNEV	KEP 1	KEP 2	KEP 3
BETA 7399AN/100	BETA cipőfűző narancs/fekete 100cm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/3/7399a_slash_n_dot__dot__dot__foto_01.jpg		
BETA 7399AN/120	BETA cipőfűző narancs/fekete 120cm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/3/7399a_slash_n_dot__dot__dot__foto_01.jpg		
BETA 7399AN/120	BETA cipőfűző narancs/fekete 140cm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/3/7399a_slash_n_dot__dot__dot__foto_01.jpg		
BETA 7352B ...	BETA jól szellőző MESH munkavédelmi cipő, kék	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/3/7352b_foto_01.jpg		
BETA 7243EN ...	BETA mérsékelten vízálló bőr munkavédelmi bokacipő	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/2/7243en_foto_01.jpg		
BETA 7241EN ...	BETA mérsékelten vízálló bőr munkavédelmi cipő	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/2/7241en_foto_01.jpg		
BETA 7317NA ...	BETA perforált hasítottbőr munkavédelmi cipő	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/7/3/7317na_foto_01.jpg		
BETA 1036/140X1.3	BETA seegergyűrű fogó külső 140mm A10-25mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/1/0/1036_foto_01.jpg		
BETA 1036/140X0.9	BETA seegergyűrű fogó külső 140mm A3-10mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/1/0/1036_foto_01.jpg		
BETA 96T/S11-11	BETA T-szárú imbuszkulcs készlet, 11db-os	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/S5P	BETA T-szárú imbuszkulcs készlet, 5db-os	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/S6	BETA T-szárú imbuszkulcs készlet, 6db-os	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/S8	BETA T-szárú imbuszkulcs készlet, 8db-os	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/10	BETA T-szárú imbuszkulcs, 10mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/2.5	BETA T-szárú imbuszkulcs, 2.5mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/2	BETA T-szárú imbuszkulcs, 2mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
BETA 96T/3	BETA T-szárú imbuszkulcs, 3mm	https://www.beta-tools.com/media/catalog/product/cache/1/thumbnail/600x/17f82f742ffe127f42dca9de82fb58b1/9/6/96t_slash_s_foto_01.jpg		
