Csoportkód	WEBÁRUHÁZBAN SZEREPELJEN	Termékkód	Szolgáltatás	Terméknév	Katalógus szám	Típus	Méret	Súly	Minősítés	Minőség	Termékféleség	Ker. típus	Felh. típus	Deviza elsz.	Kedvezmény csoport	Akciós ?	Akció %	Árképzés	Nettó eladási ár	ÁFA osztály	Bruttó eladási ár	Mennyiségi egység	Másodlagos me.	Minimum készlet	Maximum készlet	Puffer készlet	Rendelési egység	KSH előtag	KSZ szám	Beszállító	Rövid megjegyzés	Hosszú megjegyzés	Vonalkód	EAN kód	Min. rendelhető	Ker. mennyiség	Raklap menny.	Web csoport	Inaktív
	NEM	BEAZONOSÍTÁS ALATT	Nem	Később küldünk rá ajánlatot							szolgáltatás			Nem	x	Nem	0	S	0	AFA27	0	db	db	0	0	0	0	VTSZ					*BEAZONOSÍTÁS!ALATT*		0	0	0		Nem
	NEM	NEM FORGALMAZZUK	Nem	Ez a termék sajnos nem szerepel a kínálatunkban							szolgáltatás			Nem	x	Nem	0	F	0	AFA27	0	db	db	0	0	0	0	VTSZ					*NEM!FORGALMAZZUK*		0	0	0		Nem
99	NEM	ADMINISZTRÁCIÓS DÍJ	Igen	Termékcsere díja							szolgáltatás	L		Nem	x	Nem	0	S	1000	AFA27	1270	db	db	0	0	0	0	VTSZ					*ADMINISZTRÁCIÓS!DÍJ*		0	0	0		Igen
99	NEM	CÍMKÉK BESZERKESZTÉSE	Igen	Szolgáltatások							szolgáltatás	L		Nem	x	Nem	0	S	15000	AFA27	19050	db	db	0	0	0	0	SZJ					*CÍMKÉK!BESZERKESZTÉSE*		0	0	0		Igen
99	NEM	CSAPÁGY ÁTALAKÍTÁS	Igen	Szolgáltatások							szolgáltatás	L		Nem	x	Nem	0	S	4500	AFA27	5715	db	db	0	0	0	0	SZJ					*CSAPÁGY!ÁTALAKÍTÁS*		0	0	0		Nem
99	NEM	CSOMAGOLÁS	Igen	Szolgáltatások							Nincs megadva	L		Nem	x	Nem	0	F	500	AFA27	635	db	db	0	0	0	1	SZJ					*CSOMAGOLÁS*		0	0	0		Nem
99	NEM	DOBOZ BONTÁS PÓTDÍJA	Igen	Egységcsomag bontásának pótdíja			SZOLGÁLTATÁS				szolgáltatás	L		Nem	x	Nem	0	F	900	AFA27	1143	db	db	0	0	0	0	SZJ					*DOBOZ!BONTÁS!PÓTDÍJA*		0	0	0		Nem
99	NEM	ELŐLEG	Igen	ELŐLEG							szolgáltatás	L		Nem	x	Nem	0	S	1190	AFA27	1511.3	db	db	0	0	0	0	SZJ	8506				*ELŐLEG*		0	0	0		Igen
99	NEM	EN 10204/3.1 GYÁRTÓI BIZONYLAT	Igen	Gyártói bizonylat 50 Euro méretenként							Nincs megadva	L		Nem	x	Nem	0	F	12000	AFA27	15240	db	db	0	0	0	0	SZJ					*EN!10204/3.1!GYÁRTÓI!BIZONYLAT*		0	0	0		Nem
99	NEM	FELTÖLTÉSI DÍJ	Igen	Kiszállás, feltöltés, igényfelmérés							szolgáltatás	L		Nem	x	Nem	0	S	8000	AFA27	10160	db	db	0	0	0	0	VTSZ					*FELTÖLTÉSI!DÍJ*		0	0	0		Igen
