CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
				BECO hőálló egysorú mélyhornyú golyóscsapágy
				BECO rozsdamentes egysorú mélyhornyú golyóscsapágy
				ELGES egysorú mélyhornyú golyóscsapágy
				EZO egysorú mélyhornyú golyóscsapágy
				EZO egysorú mélyhornyú golyóscsapágy, domború
				EZO peremes egysorú mélyhornyú golyóscsapágy
				EZO rozsdamentes egysorú mélyhornyú golyóscsapágy
				FAFNIR egysorú mélyhornyú golyóscsapágy
				FAG egysorú mélyh. golyóscsap. külső gy. szigetelt
				FAG egysorú mélyh.cs. szélesített belső gyűrűvel
				FAG egysorú mélyhornyú golyóscsapágy
				FAG rozsdamentes egysorú mélyhornyú golyóscsapágy
				FERSA egysorú mélyhornyú golyóscsapágy
				GMB egysorú mélyhornyú golyóscsapágy
				GMN egysorú mélyhornyú golyóscsapágy
				GMN műanyag csapágy (üveg golyókkal)
				GMN rozsdamentes egysorú mélyhornyú golyóscsapágy
				GMN üveggolyós műanyag mélyhornyú golyóscsapágy
				GRW egysorú mélyhornyú golyóscsapágy
				GRW peremes egysorú mélyhornyú golyóscsapágy RM
				GRW rozsdamentes egysorú mélyhornyú golyóscsapágy
				INA egysorú mélyhornyú golyóscsapágy
				INA vezetőgörgő (mélyhornyú golyós) domború palást
				KBC egysorú mélyhornyú golyóscsapágy
				KELETI egysorú mélyh.cs szélesített belső gyűrűvel
				KELETI egysorú mélyhornyú golyóscsapágy
				KELETI kétsorú mélyhornyú golyóscsapágy
				KELETI műanyag mélyhornyú golyóscs. üveggolyókkal
				KELETI peremes egysorú mélyhornyú golyóscsapágy
				KELETI rozsdamentes egysorú mélyhornyú golyóscsap.
				KELETI rozsdamentes peremes mélyhornyú golyóscsap.
				KELETI vezetőgörgő (mélyh. golyós) domború palást
				KELETI vezetőgörgő (mélyhornyú golyós) domború
				KOYO egysorú mélyh.cs. szélesített belső gyűrűvel
				KOYO egysorú mélyhornyú golyóscsapágy
				MAPCO egysorú mélyhornyú golyóscsapágy, domború
				MTK egysorú mélyhornyú golyóscsapágy
				NACHI egysorú mélyh.cs. szélesített belső gyűrűvel
				NACHI egysorú mélyhornyú golyóscsapágy
				NICE egysorú mélyhornyú golyóscsapágy
				NKE egysorú mélyhornyú golyóscsapágy
				NMB egysorú mélyhornyú golyóscsapágy
				NSK egysorú mélyh.cs. szélesített belső gyűrűvel
				NSK egysorú mélyhornyú golyóscsapágy
				NSK egysorú mélyhornyú golyóscsapágy (érzékelővel)
				NSK egysorú mélyhornyú gyolyóscsapágy
				NTN egysorú mélyhornyú csapágy
				NTN egysorú mélyhornyú golyóscsapágy
				NTN peremes egysorú mélyhornyú golyóscsapágy
				NWG egysorú mélyhornyú golyóscsapágy
				PEER egysorú mélyhornyú golyóscsapágy domború
				PFI egysorú mélyhornyú golyóscsapágy
				PFI egysorú mélyhornyú golyóscsapágy domborúpalást
				RHP egysorú mélyhornyú golyóscsapágy
				SKF (E2) energiatakarékos mélyhornyú golyóscsapágy
				SKF egysorú mélyh. csapágy (-30...+150°C zsírral)
				SKF egysorú mélyh. csapágy (-40...+160°C zsírral)
				SKF egysorú mélyh. csapágy (-50...+140°C zsírral)
				SKF egysorú mélyh. golyóscsap. külső gy. szigetelt
				SKF egysorú mélyhornyú golyóscs. Solid Oil feltölt
				SKF egysorú mélyhornyú golyóscsapágy
				SKF egysorú mélyhornyú golyóscsapágy (érzékelővel)
				SKF egysorú mélyhornyú golyóscsapágy (OTIS)
				SKF egysorú mélyhornyú hőálló golyóscsapágy /250°C
				SKF egysorú mélyhornyú hőálló golyóscsapágy /350°C
				SKF párosított (2db) egysorú mélyh. golyóscsapágy
				SKF rozsdamentes egysorú mélyhornyú golyóscsapágy
				SKF rozsdamentes egysorú peremes mélyhornyú golyós
				SKF vezetőgörgő (mélyhornyú golyós) domború palást
				SNR egysorú mélyhornyú golyóscsapágy
				STEYR egysorú mélyhornyú golyóscsapágy
				TIMKEN egysorú mélyhornyú golyóscsapágy
				ZKL/ZVL egysorú mélyhornyú golyóscsapágy
				ZKL/ZVL peremes egysorú mélyhornyú golyóscsapágy
				ZWICKER egysorú mélyhornyú golyóscsapágy
			KÉTSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	FAG kétsorú mélyhornyú golyóscsapágy
				KOYO kétsorú mélyhornyú golyóscsapágy
				RHP kétsorú mélyhornyú golyóscsapágy
				SKF kétsorú mélyhornyú golyóscsapágy
				SKF vezetőgörgő (mélyhornyú golyós) domború palást
				STEYR kétsorú mélyhornyú golyóscsapágy
		Y-CSAPÁGY (GOLYÓS)	Y-CSAPÁGY	ASAHI Y csapágy
				BECO hernyócsavaros rögzítésű Y-csapágy (280°C)
				BECO hernyócsavaros rögzítésű Y-csapágy (rozsdam.)
				FAFNIR hernyócsavaros rögzítésű Y-csapágy
				FAFNIR Y csapágy hengeres palást, excenter gyűrűs
				FAG hernyócsavaros rögzítésű Y-csapágy
				FAG Y-csapágy kúpos furattal, szorítóhüvellyel
				INA 06B láncfeszítő RAE csapággyal d=16, z=20
				INA 08B láncfeszítő RAE csapággyal d=15, z=16
				INA 10B láncfeszítő RAE csapággyal d=16, z=14
				INA 10B láncfeszítő RAE csapággyal d=16, z=17
				INA 12B láncfeszítő RAE csapággyal d=15, z=13
				INA 12B láncfeszítő RAE csapággyal d=16, z=15
				INA 12B láncfeszítő RAE csapággyal d=20, z=15
				INA 16B láncfeszítő RAE csapággyal d=20, z=12
				INA excenteres rögzítőgyűrűvel szerelt Y-csapágy
				INA hernyócsavaros rögzítésű Y-csapágy
				INA Y csapágy
				INA Y csapágy domború palást, excenter gyűrűs
				INA Y csapágy dumború gumibetéttel excentergyűrűs
				INA Y csapágy hengeres palást excenter gyűrű +gumi
				INA Y csapágy hengeres palást, excenter gyűrűs
				INA Y csapágy hengeres palást, hernyócsavaros
				INA Y csapágy négyszög furattal
				INA Y csapágy szabványos belső gyűrűvel
				INA Y csapágy szélesített belső gyűrűvel
				INA Y-csapágy kúpos furattal, szorítóhüvellyel
